symbol,date,open,high,low,close,volume,adjclose,splits
GBR,2016-02-10,0.75,0.75,0.7099999785423279,0.7099999785423279,600,0.7099999785423279,0.0
GBR,2016-02-11,0.75,0.75,0.75,0.75,800,0.75,0.0
GBR,2016-02-12,0.75,0.8199999928474426,0.7099999785423279,0.7099999785423279,8200,0.7099999785423279,0.0
GBR,2016-02-16,0.75,0.7599999904632568,0.7200000286102295,0.7300000190734863,3400,0.7300000190734863,0.0
GBR,2016-02-17,0.75,0.8399999737739563,0.75,0.8100000023841858,20800,0.8100000023841858,0.0
GBR,2016-02-18,0.8600000143051147,0.8700000047683716,0.6499999761581421,0.7200000286102295,11300,0.7200000286102295,0.0
GBR,2016-02-19,0.7200000286102295,0.7200000286102295,0.6499999761581421,0.6499999761581421,1900,0.6499999761581421,0.0
GBR,2016-02-22,0.6299999952316284,0.6600000262260437,0.6299999952316284,0.6600000262260437,7800,0.6600000262260437,0.0
GBR,2016-02-23,0.6700000166893005,0.7200000286102295,0.6700000166893005,0.699999988079071,16600,0.699999988079071,0.0
GBR,2016-02-24,0.7300000190734863,0.7799999713897705,0.6200000047683716,0.6200000047683716,2600,0.6200000047683716,0.0
GBR,2016-02-25,0.6499999761581421,0.7300000190734863,0.6499999761581421,0.7300000190734863,1000,0.7300000190734863,0.0
GBR,2016-02-26,0.699999988079071,0.699999988079071,0.6499999761581421,0.6899999976158142,5700,0.6899999976158142,0.0
GBR,2016-02-29,0.6700000166893005,0.6700000166893005,0.6499999761581421,0.6499999761581421,1500,0.6499999761581421,0.0
GBR,2016-03-01,0.6499999761581421,0.6499999761581421,0.6499999761581421,0.6499999761581421,0,0.6499999761581421,0.0
GBR,2016-03-02,0.6800000071525574,0.699999988079071,0.6800000071525574,0.699999988079071,6300,0.699999988079071,0.0
GBR,2016-03-03,0.699999988079071,0.7400000095367432,0.699999988079071,0.7400000095367432,4500,0.7400000095367432,0.0
GBR,2016-03-04,0.7900000214576721,0.9700000286102295,0.7900000214576721,0.8100000023841858,44800,0.8100000023841858,0.0
GBR,2016-03-07,0.8299999833106995,0.9399999976158142,0.8299999833106995,0.9399999976158142,39500,0.9399999976158142,0.0
GBR,2016-03-08,0.949999988079071,1.0199999809265137,0.9100000262260437,0.949999988079071,18100,0.949999988079071,0.0
GBR,2016-03-09,0.9399999976158142,1.0199999809265137,0.9399999976158142,0.9800000190734863,6300,0.9800000190734863,0.0
GBR,2016-03-10,0.949999988079071,0.949999988079071,0.8500000238418579,0.8500000238418579,11900,0.8500000238418579,0.0
GBR,2016-03-11,0.8500000238418579,1.159999966621399,0.8500000238418579,1.090000033378601,53600,1.090000033378601,0.0
GBR,2016-03-14,1.2699999809265137,1.2699999809265137,1.0800000429153442,1.1699999570846558,44800,1.1699999570846558,0.0
GBR,2016-03-15,1.0800000429153442,1.0800000429153442,0.8399999737739563,0.8999999761581421,22700,0.8999999761581421,0.0
GBR,2016-03-16,0.8799999952316284,0.9399999976158142,0.8799999952316284,0.9399999976158142,1200,0.9399999976158142,0.0
GBR,2016-03-17,1.0,1.0800000429153442,0.9700000286102295,1.0399999618530273,14600,1.0399999618530273,0.0
GBR,2016-03-18,1.0299999713897705,1.0800000429153442,1.0,1.0700000524520874,5100,1.0700000524520874,0.0
GBR,2016-03-21,1.0499999523162842,1.0499999523162842,0.949999988079071,0.9700000286102295,800,0.9700000286102295,0.0
GBR,2016-03-22,0.9700000286102295,0.9700000286102295,0.8899999856948853,0.8899999856948853,30900,0.8899999856948853,0.0
GBR,2016-03-23,0.9100000262260437,0.9100000262260437,0.9100000262260437,0.9100000262260437,300,0.9100000262260437,0.0
GBR,2016-03-24,0.8700000047683716,0.9200000166893005,0.8700000047683716,0.9100000262260437,5800,0.9100000262260437,0.0
GBR,2016-03-28,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,5100,0.8500000238418579,0.0
GBR,2016-03-29,0.8500000238418579,0.9200000166893005,0.8500000238418579,0.8500000238418579,6200,0.8500000238418579,0.0
GBR,2016-03-30,0.8299999833106995,0.8899999856948853,0.8299999833106995,0.8700000047683716,1500,0.8700000047683716,0.0
GBR,2016-03-31,0.8500000238418579,0.8500000238418579,0.8100000023841858,0.8399999737739563,20600,0.8399999737739563,0.0
GBR,2016-04-01,0.8199999928474426,0.8600000143051147,0.8199999928474426,0.8500000238418579,7100,0.8500000238418579,0.0
GBR,2016-04-04,0.800000011920929,0.8399999737739563,0.75,0.8399999737739563,7900,0.8399999737739563,0.0
GBR,2016-04-05,0.8100000023841858,0.8399999737739563,0.8100000023841858,0.8399999737739563,600,0.8399999737739563,0.0
GBR,2016-04-06,0.8100000023841858,0.8500000238418579,0.8100000023841858,0.8299999833106995,1500,0.8299999833106995,0.0
GBR,2016-04-07,0.8399999737739563,0.8700000047683716,0.8399999737739563,0.8700000047683716,400,0.8700000047683716,0.0
GBR,2016-04-08,0.8799999952316284,0.8799999952316284,0.8600000143051147,0.8799999952316284,2600,0.8799999952316284,0.0
GBR,2016-04-11,0.8799999952316284,0.8799999952316284,0.8600000143051147,0.8600000143051147,4700,0.8600000143051147,0.0
GBR,2016-04-12,0.8600000143051147,0.8600000143051147,0.8600000143051147,0.8600000143051147,100,0.8600000143051147,0.0
GBR,2016-04-13,0.7699999809265137,0.8199999928474426,0.7699999809265137,0.800000011920929,18400,0.800000011920929,0.0
GBR,2016-04-14,0.8399999737739563,0.8700000047683716,0.8100000023841858,0.8700000047683716,8400,0.8700000047683716,0.0
GBR,2016-04-15,0.8600000143051147,0.8600000143051147,0.8399999737739563,0.8399999737739563,1100,0.8399999737739563,0.0
GBR,2016-04-18,0.8199999928474426,0.8199999928474426,0.8199999928474426,0.8199999928474426,900,0.8199999928474426,0.0
GBR,2016-04-19,0.8399999737739563,0.8399999737739563,0.800000011920929,0.8299999833106995,4300,0.8299999833106995,0.0
GBR,2016-04-20,0.8399999737739563,0.8399999737739563,0.8100000023841858,0.8100000023841858,6800,0.8100000023841858,0.0
GBR,2016-04-21,0.8100000023841858,0.8100000023841858,0.8100000023841858,0.8100000023841858,100,0.8100000023841858,0.0
GBR,2016-04-22,0.8299999833106995,0.8299999833106995,0.8299999833106995,0.8299999833106995,200,0.8299999833106995,0.0
GBR,2016-04-25,0.8199999928474426,0.8199999928474426,0.8199999928474426,0.8199999928474426,200,0.8199999928474426,0.0
GBR,2016-04-26,0.8199999928474426,0.8500000238418579,0.8199999928474426,0.8500000238418579,1300,0.8500000238418579,0.0
GBR,2016-04-27,0.8600000143051147,0.9100000262260437,0.8600000143051147,0.9100000262260437,11700,0.9100000262260437,0.0
GBR,2016-04-28,0.9399999976158142,1.0499999523162842,0.9399999976158142,1.0399999618530273,27300,1.0399999618530273,0.0
GBR,2016-04-29,1.0499999523162842,1.0499999523162842,0.9200000166893005,0.949999988079071,21300,0.949999988079071,0.0
GBR,2016-05-02,0.9200000166893005,0.9200000166893005,0.7799999713897705,0.8600000143051147,39900,0.8600000143051147,0.0
GBR,2016-05-03,0.8700000047683716,0.8999999761581421,0.8700000047683716,0.8999999761581421,700,0.8999999761581421,0.0
GBR,2016-05-04,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421,0,0.8999999761581421,0.0
GBR,2016-05-05,0.9100000262260437,0.949999988079071,0.9100000262260437,0.949999988079071,1400,0.949999988079071,0.0
GBR,2016-05-06,0.9399999976158142,0.9399999976158142,0.8199999928474426,0.8199999928474426,1900,0.8199999928474426,0.0
GBR,2016-05-09,0.8399999737739563,0.9700000286102295,0.7799999713897705,0.8199999928474426,13700,0.8199999928474426,0.0
GBR,2016-05-10,0.8500000238418579,0.8700000047683716,0.8199999928474426,0.8299999833106995,5300,0.8299999833106995,0.0
GBR,2016-05-11,0.8199999928474426,0.8999999761581421,0.8199999928474426,0.8799999952316284,5200,0.8799999952316284,0.0
GBR,2016-05-12,0.8700000047683716,0.8700000047683716,0.8700000047683716,0.8700000047683716,300,0.8700000047683716,0.0
GBR,2016-05-13,0.8700000047683716,0.8700000047683716,0.8700000047683716,0.8700000047683716,0,0.8700000047683716,0.0
GBR,2016-05-16,0.8199999928474426,0.8600000143051147,0.8199999928474426,0.8600000143051147,12100,0.8600000143051147,0.0
GBR,2016-05-17,0.8700000047683716,0.9399999976158142,0.8700000047683716,0.8899999856948853,1700,0.8899999856948853,0.0
